Dataset,Model,Category,Count,Pct,Accuracy,Source
PrOntoQA,Gemma,TF consensus,476,95.2,95.17,C:\Users\mathlouthi\Desktop\POSS-LOGIC-LM-GITHUB\POSS-LOGICLM\PBS-GEMMA\PBS-GEMMA\pbs_prontoqa_gemma_results.json
PrOntoQA,Gemma,Semantic Unknown,0,0.0,,C:\Users\mathlouthi\Desktop\POSS-LOGIC-LM-GITHUB\POSS-LOGICLM\PBS-GEMMA\PBS-GEMMA\pbs_prontoqa_gemma_results.json
PrOntoQA,Gemma,Conflict,24,4.8,70.83,C:\Users\mathlouthi\Desktop\POSS-LOGIC-LM-GITHUB\POSS-LOGICLM\PBS-GEMMA\PBS-GEMMA\pbs_prontoqa_gemma_results.json
PrOntoQA,Gemma,Technical Unknown,0,0.0,,C:\Users\mathlouthi\Desktop\POSS-LOGIC-LM-GITHUB\POSS-LOGICLM\PBS-GEMMA\PBS-GEMMA\pbs_prontoqa_gemma_results.json
PrOntoQA,LLaMA,TF consensus,315,63.0,93.02,C:\Users\mathlouthi\Desktop\POSS-LOGIC-LM-GITHUB\POSS-LOGICLM\PBS-LLAMA\PBS-LLAMA\pbs_prontoqa_results.json
PrOntoQA,LLaMA,Semantic Unknown,3,0.6,0.0,C:\Users\mathlouthi\Desktop\POSS-LOGIC-LM-GITHUB\POSS-LOGICLM\PBS-LLAMA\PBS-LLAMA\pbs_prontoqa_results.json
PrOntoQA,LLaMA,Conflict,182,36.4,79.12,C:\Users\mathlouthi\Desktop\POSS-LOGIC-LM-GITHUB\POSS-LOGICLM\PBS-LLAMA\PBS-LLAMA\pbs_prontoqa_results.json
PrOntoQA,LLaMA,Technical Unknown,0,0.0,,C:\Users\mathlouthi\Desktop\POSS-LOGIC-LM-GITHUB\POSS-LOGICLM\PBS-LLAMA\PBS-LLAMA\pbs_prontoqa_results.json
PrOntoQA,Qwen,TF consensus,377,75.4,91.25,C:\Users\mathlouthi\Desktop\POSS-LOGIC-LM-GITHUB\POSS-LOGICLM\PBS-QWEN\PBS-QWEN\pbs_prontoqa_results.json
PrOntoQA,Qwen,Semantic Unknown,0,0.0,,C:\Users\mathlouthi\Desktop\POSS-LOGIC-LM-GITHUB\POSS-LOGICLM\PBS-QWEN\PBS-QWEN\pbs_prontoqa_results.json
PrOntoQA,Qwen,Conflict,123,24.6,72.36,C:\Users\mathlouthi\Desktop\POSS-LOGIC-LM-GITHUB\POSS-LOGICLM\PBS-QWEN\PBS-QWEN\pbs_prontoqa_results.json
PrOntoQA,Qwen,Technical Unknown,0,0.0,,C:\Users\mathlouthi\Desktop\POSS-LOGIC-LM-GITHUB\POSS-LOGICLM\PBS-QWEN\PBS-QWEN\pbs_prontoqa_results.json
ProofWriter,Gemma,TF consensus,284,47.33,51.41,C:\Users\mathlouthi\Desktop\POSS-LOGIC-LM-GITHUB\POSS-LOGICLM\PBS-GEMMA\PBS-GEMMA\pbs_proofwriter_results.json
